frame_number,cpu_time_ms,ppu_time_ms,ppu_oam_scan_time_ms,ppu_draw_pixels_time_ms,ppu_hblank_time_ms,ppu_vblank_time_ms,mmio_time_ms,lcd_time_ms,sdl_events_time_ms,debugger_time_ms,interrupt_time_ms,other_time_ms,total_frame_time_ms
133,1.7108,0.2765,1.4900,19.7895,2.7154,1.0573,0.2931,0.0000,0.0645,0.2592,0.2214,0.0000,27.8778
134,1.4241,0.2514,1.2353,16.2792,2.2433,0.7751,0.2567,0.0000,0.0143,0.2351,0.2074,0.0000,22.9220
135,1.4902,0.2504,1.3389,17.6110,2.4546,0.9372,0.2637,0.0000,0.0229,0.2443,0.2111,0.0000,24.8245
136,1.8342,0.2978,1.6234,22.0412,3.0565,0.7442,0.3031,0.0000,0.0160,0.2666,0.2317,0.0000,30.4148
137,1.5188,0.2723,1.3393,17.8552,2.4352,0.5582,0.2667,0.0000,0.0121,0.2417,0.2115,0.0000,24.7112
138,1.3918,0.2345,1.2335,16.1695,2.2700,0.7890,0.2474,0.0000,0.0173,0.2216,0.2005,0.0000,22.7753
139,1.4435,0.2417,1.2383,16.5860,2.2389,0.8087,0.2613,0.0000,0.0125,0.2258,0.2026,0.0000,23.2593
140,1.5935,0.2733,1.4140,19.1467,2.5693,0.5404,0.2749,0.0000,0.0124,0.2415,0.2162,0.0000,26.2822
141,1.1138,0.2176,0.9927,12.6600,1.8219,0.5495,0.2190,0.0000,0.0111,0.2102,0.1890,0.0000,17.9848
142,1.5852,0.2586,1.4108,18.7421,2.5638,0.9020,0.2771,0.0000,0.0216,0.2368,0.2159,0.0000,26.2140
143,1.5409,0.2575,1.3709,18.4944,2.5010,0.6315,0.2702,0.0000,0.0153,0.2378,0.2125,0.0000,25.5320
144,1.3895,0.2394,1.1950,15.9629,2.2262,0.7937,0.2514,0.0000,0.0167,0.2314,0.2193,0.0000,22.5257
145,1.3662,0.2335,1.2115,15.8336,2.1828,0.7929,0.2422,0.0000,0.0201,0.2181,0.2042,0.0000,22.3052
146,1.7270,0.2707,1.4598,19.8334,2.6621,0.8696,0.2866,0.0000,0.0159,0.2484,0.2198,0.0000,27.5934
147,1.5699,0.2642,1.3965,18.3562,2.5275,0.7465,0.2700,0.0000,0.0164,0.2381,0.2119,0.0000,25.5974
148,1.1173,0.2116,0.9891,12.8168,1.9351,0.5508,0.2226,0.0000,0.0282,0.2112,0.1875,0.0000,18.2703
149,1.5951,0.2565,1.4004,19.1199,2.6660,0.7770,0.2708,0.0000,0.0411,0.2375,0.2114,0.0000,26.5759
150,1.6565,0.2647,1.4199,19.2659,2.6377,0.8948,0.2797,0.0000,0.2748,0.2458,0.2179,0.0000,27.1579
151,1.6823,0.2703,1.4973,20.0664,2.6047,0.7571,0.3856,0.0000,0.0246,0.2789,0.3300,0.0000,27.8973
152,1.4929,0.2974,1.3214,17.8306,2.5454,0.7870,0.2495,0.0000,0.0727,0.2171,0.2147,0.0000,25.0291
